Date,^TWII
2015-01-31,9361.8681640625
2015-02-28,9622.0556640625
2015-03-31,9586.396484375
2015-04-30,9820.0048828125
2015-05-31,9701.025390625
2015-06-30,9322.9775390625
2015-07-31,8665.2998046875
2015-08-31,8174.88232421875
2015-09-30,8181.20263671875
2015-10-31,8554.26953125
2015-11-30,8320.5703125
2015-12-31,8338.01953125
2016-01-31,8080.5625
2016-02-29,8411.1328125
2016-03-31,8744.802734375
2016-04-30,8377.873046875
2016-05-31,8535.5625
2016-06-30,8666.5595703125
2016-07-31,8984.388671875
2016-08-31,9068.8291015625
2016-09-30,9166.8291015625
2016-10-31,9290.099609375
2016-11-30,9240.6953125
2016-12-31,9253.4931640625
2017-01-31,9447.943359375
2017-02-28,9750.462890625
2017-03-31,9811.5126953125
2017-04-30,9871.9931640625
2017-05-31,10040.7197265625
2017-06-30,10395.0703125
2017-07-31,10427.330078125
2017-08-31,10585.7802734375
2017-09-30,10329.9404296875
2017-10-31,10793.7998046875
2017-11-30,10560.4404296875
2017-12-31,10642.8603515625
2018-01-31,11103.7900390625
2018-02-28,10815.4697265625
2018-03-31,10906.2197265625
2018-04-30,10657.8798828125
2018-05-31,10874.9599609375
2018-06-30,10836.91015625
2018-07-31,11057.509765625
2018-08-31,11063.9404296875
2018-09-30,11006.33984375
2018-10-31,9802.1298828125
2018-11-30,9888.0302734375
2018-12-31,9727.41015625
2019-01-31,9932.259765625
2019-02-28,10389.169921875
2019-03-31,10641.0400390625
2019-04-30,10967.73046875
2019-05-31,10498.490234375
2019-06-30,10730.830078125
2019-07-31,10823.8095703125
2019-08-31,10618.0498046875
2019-09-30,10829.6796875
2019-10-31,11358.7099609375
2019-11-30,11489.5703125
2019-12-31,11997.1396484375
2020-01-31,11495.099609375
2020-02-29,11292.169921875
2020-03-31,9708.0595703125
2020-04-30,10992.1396484375
2020-05-31,10942.16015625
2020-06-30,11621.240234375
2020-07-31,12664.7998046875
2020-08-31,12591.4501953125
2020-09-30,12515.6103515625
2020-10-31,12546.33984375
2020-11-30,13722.8896484375
2020-12-31,14732.5302734375
2021-01-31,15138.3095703125
2021-02-28,15953.7998046875
2021-03-31,16431.130859375
2021-04-30,17566.66015625
2021-05-31,17068.4296875
2021-06-30,17755.4609375
2021-07-31,17247.41015625
2021-08-31,17490.2890625
2021-09-30,16934.76953125
2021-10-31,16987.41015625
2021-11-30,17427.759765625
2021-12-31,18218.83984375
2022-01-31,17674.400390625
2022-02-28,17652.1796875
2022-03-31,17693.470703125
2022-04-30,16592.1796875
2022-05-31,16807.76953125
2022-06-30,14825.73046875
2022-07-31,15000.0703125
2022-08-31,15095.4404296875
2022-09-30,13424.580078125
2022-10-31,12949.75
2022-11-30,14879.5498046875
2022-12-31,14137.6904296875
2023-01-31,15265.2001953125
2023-02-28,15503.7900390625
2023-03-31,15868.0595703125
2023-04-30,15579.1796875
2023-05-31,16578.9609375
2023-06-30,16915.5390625
2023-07-31,17145.4296875
2023-08-31,16634.509765625
2023-09-30,16353.740234375
2023-10-31,16001.26953125
2023-11-30,17433.849609375
2023-12-31,17930.810546875
2024-01-31,17889.560546875
2024-02-29,18966.76953125
2024-03-31,20294.44921875
2024-04-30,20396.599609375
2024-05-31,21174.220703125
2024-06-30,23032.25
2024-07-31,22199.349609375
2024-08-31,22268.08984375
2024-09-30,22224.5390625
2024-10-31,22820.4296875
2024-11-30,22262.5
2024-12-31,23035.099609375
2025-01-31,23525.41015625
2025-02-28,23053.1796875
2025-03-31,20695.900390625
2025-04-30,20235.029296875
2025-05-31,21347.30078125
2025-06-30,22256.01953125
2025-07-31,23542.51953125
2025-08-31,24233.099609375
2025-09-30,25820.5390625
2025-10-31,28233.349609375
2025-11-30,27626.48046875
2025-12-31,28963.599609375
2026-01-31,32063.75
2026-02-28,33605.7109375
